run_id,model_alias,model_name,task_id,domain,difficulty,step,thought,answer,answer_normalized,correct,confidence,model_stop_flag,answer_changed,thought_token_count,raw_generation_tokens,mean_token_logprob,entropy_mean,entropy_std,hidden_norm,hidden_l2_shift,hidden_cosine_shift,lexical_echo,verbose_confidence_proxy,utility,elapsed_seconds,seed,temperature,device
qwen2p5_0p5b__calendar_offset_easy__temp0.20__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,calendar_offset_easy,calendar,easy,1,We need to find the day of the week 14,THOUGHT: We need to find the day of the week 14,thought:,0,50,0,0,10,16,-0.26953125,0.68359375,0.88671875,156.32077026367188,0.0,0.0,0.0,0.66,0.0,17.190313700120896,7,0.2,cpu
qwen2p5_0p5b__calendar_offset_easy__temp0.20__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,calendar_offset_easy,calendar,easy,2,We need to find the day of the week 14,THOUGHT: We need to find the day of the week 14,thought:,0,50,0,0,10,16,-0.04296875,0.25390625,0.59375,175.7211456298828,57.95668411254883,0.054290592670440674,1.0,0.66,-0.05,22.711430999916047,7,0.2,cpu
qwen2p5_0p5b__calendar_offset_easy__temp0.20__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,calendar_offset_easy,calendar,easy,3,We need to find the day of the week 14,THOUGHT: We need to find the day of the week 14,thought:,0,50,0,0,10,16,-0.046142578125,0.263671875,0.55078125,178.3791961669922,12.55435848236084,0.0024013519287109375,1.0,0.66,-0.1,26.031472499947995,7,0.2,cpu
qwen2p5_0p5b__calendar_offset_easy__temp0.80__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,calendar_offset_easy,calendar,easy,1,We need to calculate the day of the week 14,THOUGHT: We need to calculate the day of the week 14,thought:,0,50,0,0,10,16,-0.310546875,0.6875,0.890625,155.83323669433594,0.0,0.0,0.0,0.66,0.0,18.813514800043777,7,0.8,cpu
qwen2p5_0p5b__calendar_offset_easy__temp0.80__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,calendar_offset_easy,calendar,easy,2,We need to calculate the day of the week 14,THOUGHT: We need to calculate the day of the week 14,thought:,0,50,0,0,10,16,-0.040283203125,0.2412109375,0.55078125,175.98817443847656,59.92374038696289,0.05806094408035278,1.0,0.66,-0.05,22.31965920003131,7,0.8,cpu
qwen2p5_0p5b__calendar_offset_easy__temp0.80__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,calendar_offset_easy,calendar,easy,3,We need to calculate the day of the week 14,THOUGHT: We need to calculate the day of the week 14,thought:,0,50,0,0,10,16,-0.04150390625,0.24609375,0.515625,177.6424560546875,13.384590148925781,0.00282132625579834,1.0,0.66,-0.1,26.97682400001213,7,0.8,cpu
qwen2p5_0p5b__fraction_remaining__temp0.20__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,fraction_remaining,arithmetic,medium,1,We need to find the fraction of the tank that is now,THOUGHT: We need to find the fraction of the tank that is now,thought: we need to find the fraction of the tank that is now,0,50,0,0,12,16,-0.361328125,0.77734375,0.80078125,190.75631713867188,0.0,0.0,0.0,0.66,0.0,18.669830500148237,7,0.2,cpu
qwen2p5_0p5b__fraction_remaining__temp0.20__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,fraction_remaining,arithmetic,medium,2,We need to find the fraction of the tank that is now,THOUGHT: We need to find the fraction of the tank that is now,thought: we need to find the fraction of the tank that is now,0,50,0,0,12,16,-0.03369140625,0.205078125,0.380859375,199.83676147460938,49.76738739013672,0.03140503168106079,1.0,0.66,-0.05,22.509304200066254,7,0.2,cpu
qwen2p5_0p5b__fraction_remaining__temp0.20__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,fraction_remaining,arithmetic,medium,3,We need to find the fraction of the tank that is now,THOUGHT: We need to find the fraction of the tank that is now,thought: we need to find the fraction of the tank that is now,0,50,0,0,12,16,-0.038818359375,0.224609375,0.404296875,202.09654235839844,12.320897102355957,0.0018161535263061523,1.0,0.66,-0.1,25.066607599845156,7,0.2,cpu
qwen2p5_0p5b__fraction_remaining__temp0.80__seed7,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,fraction_remaining,arithmetic,medium,1,We need to calculate what fraction of the tank remains after draining,THOUGHT: We need to calculate what fraction of the tank remains after draining,thought: we need to calculate what fraction of the tank remains after draining,0,50,0,0,12,16,-0.64453125,0.79296875,0.8515625,191.99241638183594,0.0,0.0,0.0,0.66,0.0,20.330749599961564,7,0.8,cpu
